Company Name,High,Low,Last Price,Prv Close,Change,Day Volume,FiveDay AvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,Rating,Api
Intrasoft Tech,54.45,52.05,53,52.80,0.20,4616,17559,57780,42805,2 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/intrasofttechnologies/IT04
Amtek Auto,214.80,205.15,208.05,207.30,0.75,1170657,4770914,2747953,1467192,3 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amtekauto/AA01
Zydus Wellness,652,635,648.60,646.25,2.35,19693,56533,45384,21868,3 Star,http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/zyduswellness/ZW01
Maruti Suzuki,3370,3313.10,3341.20,3329.55,11.65,186565,206676,423221,308419,2 Star,http://www.moneycontrol.com/india/stockpricequote/auto-carsjeeps/marutisuzukiindia/MS24
Harita Seating,175,169,171.95,171.35,0.60,4903,5082,9123,4090,2 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/haritaseatingsystems/HSS02
Triveni Turbine,116,107.30,113.30,112.90,0.40,454603,768557,448242,193350,3 Star,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/triveniturbine/TT14
Meghmani Organi,30.45,29.25,29.95,29.85,0.10,1218677,2269598,2363411,1793718,2 Star,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/meghmaniorganics/MO04
Shilpa,579.40,525.15,555.20,553.45,1.75,12391,13989,11040,12124,3 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/shilpamedicare/SM19
KCP,62.85,60.10,60.30,60.10,0.20,282033,184913,128300,71409,5 Star,http://www.moneycontrol.com/india/stockpricequote/cement-major/kcp/KCP
HIL,710,695,698.40,696.05,2.35,12484,20585,22966,22094,2 Star,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/hil/HI09
Guj Alkali,195.60,192.40,193.35,192.75,0.60,21635,34984,62386,58437,2 Star,http://www.moneycontrol.com/india/stockpricequote/chemicals/gujaratalkalieschemicals/GAC01
Ansal Propertie,32.45,31.60,32.10,32,0.10,92430,116533,177724,135072,2 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ansalpropertiesinfrastructure/API07
Hang Seng BEES,2133,2061,2096.50,2090,6.50,86,66,61,31,5 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/goldmansachshangsengexchangetradedscheme/BMF01
Indian Metals,234,223.50,226.35,225.70,0.65,14244,5060,4897,7709,4 Star,http://www.moneycontrol.com/india/stockpricequote/miningminerals/indianmetalsferroalloys/IMF01
Grindwell Norto,519.95,508.10,516.75,515.25,1.50,78767,69178,37533,15638,5 Star,http://www.moneycontrol.com/india/stockpricequote/abrasives/grindwellnorton/GN
HDFC,1138.20,1100.10,1129.90,1126.85,3.05,2004892,1718134,2235299,2160206,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-housing/housingdevelopmentfinancecorporation/HDF
ITC,371.45,364.60,370.20,369.20,1,3992053,6637063,6918356,5581271,2 Star,http://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC
Wheels,1008,980,989.45,986.85,2.60,8109,12308,30057,18968,2 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/wheelsindia/WI11
Guj State Petro,104.40,100.60,104.05,103.80,0.25,1034467,1070199,969867,747250,3 Star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
MOSt NASDAQ 100,261.99,254.51,258.50,257.86,0.64,2189,1229,1231,1609,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/motilaloswalmostsharesnasdaq100etf/MOM02
De Nora India,152,148.30,150,149.65,0.35,2455,6379,6044,3485,3 Star,http://www.moneycontrol.com/india/stockpricequote/electricequipment/denoraindia/DNI
Neyveli Lignite,88.85,86,87.80,87.60,0.20,164730,259106,329135,177628,2 Star,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/neyvelilignitecorporation/NLC
Store One,44.80,42.55,43.10,43,0.10,51717,15342,17130,20966,4 Star,http://www.moneycontrol.com/india/stockpricequote/textiles-readymadeapparels/storeoneretailindia/IRS01
Cairn India,268.70,265.30,268.30,267.70,0.60,1205997,2042062,2395931,2385639,2 Star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/cairnindia/CI37
Brigade Ent,144.95,140.55,142.50,142.20,0.30,29676,39391,106266,58468,2 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-realestate/brigadeenterprises/BE08
VTM,24.90,22.05,22.70,22.65,0.05,17473,6001,6341,5478,4 Star,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/vtm/VTM
