Company Name,High,Low,Last Price,Prv Close,Change,Day Volume,FiveDay AvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,Rating,Api
UCAL Fuel,144.40,139.80,141.25,136.85,4.40,162961,331252,373637,225611,2 star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
Tips Industries,80.80,76.65,77.70,75.25,2.45,108761,80930,191693,87335,2 star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tipsindustries/TI25
JK Tyre & Ind,624,600,616.75,597.55,19.20,942601,1479311,1010414,917063,3 star,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
JK Tyre & Ind,624,600,616.75,597.55,19.20,942601,1479311,1010414,917063,3 star,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
Bannari A Spg,186,178,183,177.35,5.65,4097,62329,41707,18885,3 star,http://www.moneycontrol.com/india/stockpricequote/textiles-general/bannariammanspinningmills/BAS01
Bannari A Spg,186,178,183,177.35,5.65,4097,62329,41707,18885,3 star,http://www.moneycontrol.com/india/stockpricequote/textiles-general/bannariammanspinningmills/BAS01
Hindalco,174.55,168.80,174.55,169.15,5.40,7057269,8631663,9175292,9150164,2 star,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
Hindalco,174.55,168.80,174.55,169.15,5.40,8982093,8631663,9175292,9150164,2 star,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
Royal Orchid,42,39.15,42,40.70,1.30,1589,4697,5735,4212,2 star,http://www.moneycontrol.com/india/stockpricequote/hotels/royalorchidhotels/RO01
Royal Orchid,42,39.15,42,40.70,1.30,1589,4697,5735,4212,2 star,http://www.moneycontrol.com/india/stockpricequote/hotels/royalorchidhotels/RO01
TVS Motor,228.95,218.30,228,221,7,1930389,2124061,3125581,2772744,2 star,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/tvsmotorcompany/TVS
AXISCADES Engg,175.65,167.10,173,167.70,5.30,102971,249182,465330,185942,2 star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/axiscadesengineeringtechnologies/AXI
AXISCADES Engg,175.65,167.10,173,167.70,5.30,102971,249182,465330,185942,2 star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/axiscadesengineeringtechnologies/AXI
TVS Motor,228.95,218.30,228,221,7,1930389,2124061,3125581,2772744,2 star,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/tvsmotorcompany/TVS
Tata Elxsi,633.30,602.25,623,603.95,19.05,395868,141821,189229,312643,4 star,http://www.moneycontrol.com/india/stockpricequote/computers-software/tataelxsi/TE
Surya Roshni,94.80,89.60,93.05,90.25,2.80,100820,60969,55893,61870,4 star,http://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/suryaroshni/SR01
Surya Roshni,94.80,89.60,93.05,90.25,2.80,100820,60969,55893,61870,4 star,http://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/suryaroshni/SR01
Tata Elxsi,633.30,602.25,623,603.95,19.05,395868,141821,189229,312643,4 star,http://www.moneycontrol.com/india/stockpricequote/computers-software/tataelxsi/TE
KRBL,97.50,93.15,96,93.15,2.85,165645,280835,214342,219453,3 star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01
KRBL,97.50,93.15,96,93.15,2.85,165645,280835,214342,219453,3 star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01
Mandhana Ind,298,287.15,295.95,287.20,8.75,21514,82725,93153,47424,2 star,http://www.moneycontrol.com/india/stockpricequote/textiles-general/mandhanaindustries/MI24
Mandhana Ind,298,287.15,295.95,287.20,8.75,21514,82725,93153,47424,2 star,http://www.moneycontrol.com/india/stockpricequote/textiles-general/mandhanaindustries/MI24
Archidply Ind,40.65,36.15,39,37.85,1.15,104612,79415,81973,93671,4 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
Archidply Ind,40.65,36.15,39,37.85,1.15,104612,79415,81973,93671,4 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
Sudarshan Chem,108.45,99.70,103.70,100.80,2.90,119388,108301,249051,117051,2 star,http://www.moneycontrol.com/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08
Sudarshan Chem,108.45,99.70,103.70,100.80,2.90,119388,108301,249051,117051,2 star,http://www.moneycontrol.com/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08
AIA Engineering,1198.40,1130.20,1180.10,1147.05,33.05,39510,138687,119373,78397,3 star,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/aiaengineering/AIE01
AIA Engineering,1198.40,1130.20,1180.10,1147.05,33.05,39510,138687,119373,78397,3 star,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/aiaengineering/AIE01
Orient Refract,104.90,99.55,104.60,101.75,2.85,15105,137205,97883,69486,3 star,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/orientrefractories/OR01
Texmaco Rail,124.50,121.20,122.85,119.50,3.35,847542,2354478,2410619,1700124,2 star,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/texmacorailengineering/TRE
Texmaco Rail,124.50,121.20,122.85,119.50,3.35,847542,2354478,2410619,1700124,2 star,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/texmacorailengineering/TRE
VTM,25.75,24.85,25.75,25.05,0.70,5332,15179,14960,8535,3 star,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/vtm/VTM
Orient Refract,104.90,99.55,104.60,101.75,2.85,15105,137205,97883,69486,3 star,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/orientrefractories/OR01
Cimmco,73.80,68.25,70.25,68.35,1.90,90733,163863,90840,47246,3 star,http://www.moneycontrol.com/india/stockpricequote/diversified/cimmco/CB02
Cimmco,73.80,68.25,70.25,68.35,1.90,90733,163863,90840,47246,3 star,http://www.moneycontrol.com/india/stockpricequote/diversified/cimmco/CB02
VTM,25.75,24.85,25.75,25.05,0.70,5332,15179,14960,8535,3 star,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/vtm/VTM
Linde India,423.75,407.05,420,408.75,11.25,12474,34350,32092,19971,3 star,http://www.moneycontrol.com/india/stockpricequote/chemicals/lindeindia/BOC
Linde India,423.75,407.05,420,408.75,11.25,12474,34350,32092,19971,3 star,http://www.moneycontrol.com/india/stockpricequote/chemicals/lindeindia/BOC
Global Offshore,633.30,610,627.90,611.30,16.60,29541,115494,92456,55531,3 star,http://www.moneycontrol.com/india/stockpricequote/shipping/globaloffshoreservices/GOS
Global Offshore,633.30,610,627.90,611.30,16.60,29541,115494,92456,55531,3 star,http://www.moneycontrol.com/india/stockpricequote/shipping/globaloffshoreservices/GOS
Vaibhav Global,619,599.10,617,601.15,15.85,58564,267738,187256,73701,3 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vaibhavglobal/VG02
Vaibhav Global,619,599.10,617,601.15,15.85,58564,267738,187256,73701,3 star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vaibhavglobal/VG02
Aegis Logistics,458.75,433.10,455,443.40,11.60,60023,125313,259611,100408,2 star,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
Aegis Logistics,458.75,433.10,455,443.40,11.60,60023,125313,259611,100408,2 star,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
Nahar Spinning,104.40,99.50,101.15,98.55,2.60,68934,46419,55497,44581,4 star,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/naharspinningmills/NSM
Ganesh Housing,145.50,139.90,142.05,138.45,3.60,7458,33180,35764,20658,2 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ganeshhousingcorporation/GHC02
Ganesh Housing,145.50,139.90,142.05,138.45,3.60,7458,33180,35764,20658,2 star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ganeshhousingcorporation/GHC02
Nahar Spinning,104.40,99.50,101.15,98.55,2.60,68934,46419,55497,44581,4 star,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/naharspinningmills/NSM
