Company Name,High,Low,Last Price,Prv Close,Change,% Gain,API
Sutlej Textiles,342,333.10,342,338.75,3.25,0.96,/india/stockpricequote/textiles-general/sutlejtextilesindustries/STI9 
Jai Corp,85.70,84.35,85.20,84.40,0.80,0.96,/india/stockpricequote/steel-gpgcsheets/jaicorp/JC08 
Tata Sponge,683.75,668.55,671.95,665.60,6.35,0.95,/india/stockpricequote/steel-spongeiron/tataspongeiron/TSI 
Munjal Showa,214.75,209.45,211.70,209.70,2,0.95,/india/stockpricequote/autoancillaries/munjalshowa/MS 
Rel Ind Infra,525.60,514.10,520.80,515.90,4.90,0.95,/india/stockpricequote/infrastructure-general/relianceindustrialinfrastructure/RII 
JSW Steel,1208.65,1187.55,1202.80,1191.55,11.25,0.95,/india/stockpricequote/steel-large/jswsteel/JSW01 
Bal Pharma,88.40,85.70,86.20,85.40,0.80,0.94,/india/stockpricequote/pharmaceuticals/balpharma/BP02 
Bank of Baroda,1028.70,1012.05,1021.20,1011.65,9.55,0.94,/india/stockpricequote/banks-publicsector/bankofbaroda/BOB 
Godfrey Phillip,3080,3030,3058.40,3029.95,28.45,0.94,/india/stockpricequote/cigarettes/godfreyphillipsindia/GPI 
KEC Intl,104,101.40,102.15,101.20,0.95,0.94,/india/stockpricequote/power-transmissionequipment/kecinternational/KEC04 
Rallis India,219.70,215,217.50,215.50,2,0.94,/india/stockpricequote/pesticidesagrochemicals/rallisindia/RI03 
Finolex Cables,269.45,261.05,265.45,263,2.45,0.93,/india/stockpricequote/cables-telephone/finolexcables/FC01 
Ceat,919,901.50,905.25,897,8.25,0.93,/india/stockpricequote/tyres/ceat/C07 
Kohinoor Foods,45.80,43.20,44,43.60,0.40,0.92,/india/stockpricequote/foodprocessing/kohinoorfoods/KF15 
JagsonpalPharma,33.85,32.50,33.25,32.95,0.30,0.92,/india/stockpricequote/pharmaceuticals/jagsonpalpharmaceuticals/JP02 
Aries Agro,114.40,107.60,110.40,109.40,1,0.91,/india/stockpricequote/miscellaneous/ariesagro/AA02 
Everonn Edu,39.95,38.15,39,38.65,0.35,0.91,/india/stockpricequote/computers-software-training/everonneducation/EE05 
KEI Industries,45.80,44.20,45.05,44.65,0.40,0.91,/india/stockpricequote/cables-powerothers/keiindustries/KEI 
Gokaldas Export,68.25,65.80,67.50,66.90,0.60,0.90,/india/stockpricequote/textiles-readymadeapparels/gokaldasexports/GE05 
Insecticides,860,834.55,841,833.50,7.50,0.90,/india/stockpricequote/pesticidesagrochemicals/insecticidesindia/II16 
Visaka Ind,132.90,129.10,131.75,130.60,1.15,0.90,/india/stockpricequote/cement-productsbuildingmaterials/visakaindustries/VI11 
