Company Name,High,Low,Last Price,Prv Close,Change,% Gain,API
Bajaj Finance,3061.90,2980.05,3040.05,3001.15,38.90,1.30,/india/stockpricequote/finance-leasinghirepurchase/bajajfinance/BAF 
Ent Network Ind,515,507.25,512.50,505.95,6.55,1.30,/india/stockpricequote/mediaentertainment/entertainmentnetworkindia/ENI 
Oriental Bank,280.25,271.60,279.10,275.55,3.55,1.29,/india/stockpricequote/banks-publicsector/orientalbankcommerce/OBC 
Hind Composites,885,801.20,810.35,800,10.35,1.29,/india/stockpricequote/autoancillaries/hindustancomposites/HC06 
Infosys,4363,4312,4356,4300.45,55.55,1.29,/india/stockpricequote/computers-software/infosys/IT 
D-Link India,139.40,132.25,137.85,136.10,1.75,1.29,/india/stockpricequote/miscellaneous/d-linkindia/DLI01 
Pochiraju Ind,40.45,38.75,39.50,39,0.50,1.29,/india/stockpricequote/miscellaneous/pochirajuindustries/PI34 
Castrol,484.40,474.90,481,474.90,6.10,1.28,/india/stockpricequote/lubricants/castrolindia/CI01 
Jayant Agro-Org,131.90,129.30,131.10,129.45,1.65,1.28,/india/stockpricequote/chemicals/jayantagro-organics/JAO 
TD Power System,425,412.95,423.55,418.25,5.30,1.27,/india/stockpricequote/engineering-heavy/tdpowersystems/TPS01 
Lanco Industrie,73.15,71.65,72.50,71.60,0.90,1.27,/india/stockpricequote/steel-pigiron/lancoindustries/LI03 
Nitin Spinners,28.25,27.55,28.25,27.90,0.35,1.26,/india/stockpricequote/textiles-spinning-cottonblended/nitinspinners/NS12 
Star Ferro,90,86.20,88.80,87.70,1.10,1.25,/india/stockpricequote/steel-mediumsmall/starferrocement/SFC02 
Educomp Sol,29.10,27.90,28.50,28.15,0.35,1.25,/india/stockpricequote/computers-software-training/educompsolutions/ES8 
Speciality Rest,186.50,179.20,184.45,182.20,2.25,1.24,/india/stockpricequote/hotels/specialityrestaurants/SR06 
Suryalakshmi Co,109,103,107.95,106.65,1.30,1.23,/india/stockpricequote/textiles-spinning-cottonblended/suryalakshmicottonmills/SCM02 
Kwality,46.40,45.55,46,45.45,0.55,1.22,/india/stockpricequote/foodprocessing/kwality/KDI01 
Godrej Consumer,980,956.45,972.45,961,11.45,1.21,/india/stockpricequote/personalcare/godrejconsumerproducts/GCP 
NCL Industries,42.55,41.60,42.55,42.05,0.50,1.19,/india/stockpricequote/cement-mini/nclindustries/NCL 
Ramco Cements,348.50,340.55,344.55,340.55,4,1.19,/india/stockpricequote/cement-major/theramcocements/MC 
Elgi Rubber,26.20,25.05,25.85,25.55,0.30,1.17,/india/stockpricequote/tyres/elgirubbercompany/ERC01 
Gallantt Metal,27.30,25.30,26.20,25.90,0.30,1.17,/india/stockpricequote/steel-spongeiron/gallanttmetal/GM02 
Thiru Arooran,43.90,43.30,43.85,43.35,0.50,1.16,/india/stockpricequote/sugar/thiruarooransugarsindustries/TAS 
Action Const,40.45,38.10,39.50,39.05,0.45,1.15,/india/stockpricequote/engineering-heavy/actionconstructionequipment/ACE3 
Elecon Eng,53.90,52.55,52.90,52.30,0.60,1.15,/india/stockpricequote/engineering-heavy/eleconengineeringcompany/EEC 
KSK Energy Vent,78.85,73.25,75.60,74.75,0.85,1.15,/india/stockpricequote/power-generationdistribution/kskenergyventures/KEV 
Triveni Turbine,103.45,100.15,102.15,101,1.15,1.14,/india/stockpricequote/engineering-heavy/triveniturbine/TT14 
Mukund Engg,35.90,35,35.90,35.50,0.40,1.14,/india/stockpricequote/constructioncontracting-civil/mukandengineers/ME09 
Caplin Labs,425,415.10,418.95,414.25,4.70,1.13,/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL 
Vivimed Labs,373,362.20,369.95,365.85,4.10,1.13,/india/stockpricequote/pharmaceuticals/vivimedlabs/VL07 
Orchid Chemical,73.45,72.05,72.20,71.40,0.80,1.12,/india/stockpricequote/pharmaceuticals/orchidchemicalspharmaceuticals/OCP 
GlaxoSmithKline,2965,2902.25,2940,2907.75,32.25,1.12,/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK 
Mahindra CIE,230,224.20,225.85,223.40,2.45,1.11,/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19 
Blue Star,351.05,342.50,348.25,344.45,3.80,1.10,/india/stockpricequote/consumergoods-whitegoods/bluestar/BS 
PanasonicCarbon,250.75,245.05,245.30,242.65,2.65,1.10,/india/stockpricequote/electrodesgraphite/panasoniccarbonindia/PCI04 
Amtek India,88.40,86.90,87.75,86.80,0.95,1.09,/india/stockpricequote/autoancillaries/amtekindia/AI49 
V-Guard Ind,1136,1111.10,1123,1111,12,1.09,/india/stockpricequote/miscellaneous/v-guardindustries/VI02 
Indian Terrain,549,515,519.10,513.55,5.55,1.08,/india/stockpricequote/textiles-readymadeapparels/indianterrainfashions/ITF 
Shemaroo Ent,204,198,200.65,198.50,2.15,1.08,/india/stockpricequote/mediaentertainment/shemarooentertainment/SE03 
CRISIL,1899,1855.20,1890,1870.05,19.95,1.08,/india/stockpricequote/miscellaneous/crisil/CRI 
Time Techno,52.20,51.25,51.85,51.30,0.55,1.07,/india/stockpricequote/packaging/timetechnoplast/TT03 
Andhra Bank,81.40,78.65,80.75,79.90,0.85,1.07,/india/stockpricequote/banks-publicsector/andhrabank/AB14 
Geometric,134.90,131.50,133.35,131.95,1.40,1.06,/india/stockpricequote/computers-software/geometric/G03 
Rushil Decor,48.05,47.10,47.85,47.35,0.50,1.06,/india/stockpricequote/miscellaneous/rushildecor/RD02 
Sabero Organics,188.90,186,187,185.05,1.95,1.06,/india/stockpricequote/pesticidesagrochemicals/saberoorganicsgujarat/SOG 
M&M,1290.90,1275.05,1287.15,1273.75,13.40,1.05,/india/stockpricequote/auto-carsjeeps/mahindramahindra/MM 
BGR Energy,148.15,145.05,146.20,144.70,1.50,1.05,/india/stockpricequote/infrastructure-general/bgrenergysystems/BES 
NRB Industrial,29.40,28.15,29.40,29.10,0.30,1.04,/india/stockpricequote/bearings/nrbindustrialbearings/NRB01 
Asian Paints,718,709.20,712,704.75,7.25,1.03,/india/stockpricequote/paintsvarnishes/asianpaints/AP31 
Alicon Castallo,238.90,234.35,236,233.65,2.35,1.03,/india/stockpricequote/castingsforgings/aliconcastalloy/EC06 
KPIT Tech,171.90,166,170.10,168.40,1.70,1.01,/india/stockpricequote/computers-softwaremediumsmall/kpittechnologies/KPI02 
Hexaware Tech,217.40,213.05,215.55,213.40,2.15,1.01,/india/stockpricequote/computers-software/hexawaretechnologies/HT02 
AVT Natural,41,39.45,40,39.60,0.40,1.01,/india/stockpricequote/edibleoilssolventextraction/avtnaturalproducts/AVT02 
Industrial Inv,78.05,75.15,75.15,74.40,0.75,1.01,/india/stockpricequote/finance-investments/industrialinvestmenttrust/IIT01 
Neuland Lab,432.90,418.05,426,421.75,4.25,1.01,/india/stockpricequote/pharmaceuticals/neulandlaboratories/NL 
Sangam India,81.40,78.70,80.25,79.45,0.80,1.01,/india/stockpricequote/textiles-spinning-syntheticblended/sangam(india)/SI03 
Future Life,82.40,80.05,81.15,80.35,0.80,1.01,/india/stockpricequote/retail/futurelifestylefashions/FLF01 
Firstsource Sol,35.85,35,35.40,35.05,0.35,1,/india/stockpricequote/computers-softwaremediumsmall/firstsourcesolutions/FS07 
Oracle Fin Serv,3305,3254.75,3300.20,3267.95,32.25,1,/india/stockpricequote/computers-software/oraclefinancialservicessoftware/OFS01 
IndusInd Bank,725.80,712,724.40,717.30,7.10,0.99,/india/stockpricequote/banks-privatesector/indusindbank/IIB 
HOEC,46.90,45.25,45.90,45.45,0.45,0.99,/india/stockpricequote/oildrillingandexploration/hindustanoilexplorationcompany/HOE01 
TV18 Broadcast,30.80,30.20,30.50,30.20,0.30,0.99,/india/stockpricequote/mediaentertainment/tv18broadcast/IBN 
CESC,695,684.85,691.80,685.10,6.70,0.99,/india/stockpricequote/power-generationdistribution/cesc/CES 
Nandan Denim,47.25,46,46.65,46.20,0.45,0.98,/india/stockpricequote/textiles-denim/nandandenim/NE06 
Max India,383.90,372,378.90,375.25,3.65,0.97,/india/stockpricequote/packaging/maxindia/MI 
Eros Intl,351.45,338,344.50,341.20,3.30,0.97,/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM 
AB Nuvo,1773.80,1730.20,1757.25,1740.50,16.75,0.97,/india/stockpricequote/textiles-manmade/adityabirlanuvo/ABN01 
Cadila Health,1549.85,1518,1533.55,1518.90,14.65,0.96,/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC 
