CompanyName,CurrentPrice,DayVolume,FiveDayAvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,VolumeRating,EPS,EPSRating,StandaloneProfit,Recommendation,News,API
Berger Paints,381.25,392386,419228,353703,359763,3 star,6.76,1 star,Yes,,05.11.2014@ Berger Paints consolidated Sep '14 sales at Rs 1104.15 crore,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
Cybertech,51,19137,80770,160676,89074,2 star,3.28,1 star,Yes,,31.05.2014@ Cybertech consolidated Mar '14 sales at Rs 16.62 crore,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/cybertechsystemssoftware/CSS
Cybertech,51,19137,80770,160676,89074,2 star,3.28,1 star,Yes,,31.05.2014@ Cybertech consolidated Mar '14 sales at Rs 16.62 crore,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/cybertechsystemssoftware/CSS
West Coast Papr,60.90,52121,125386,249706,181687,2 star,1.00,1 star,,,14.08.2014@ West Coast Paper Q1 PAT rises 39% to Rs 10.3 cr,http://www.moneycontrol.com/india/stockpricequote/paper/westcoastpapermills/WCP
West Coast Papr,60.90,52121,125386,249706,181687,2 star,1.00,1 star,,,14.08.2014@ West Coast Paper Q1 PAT rises 39% to Rs 10.3 cr,http://www.moneycontrol.com/india/stockpricequote/paper/westcoastpapermills/WCP
Steel Str Wheel,368.50,182206,230178,118230,49514,3 star,16.00,1 star,Yes,,06.11.2014@ Steel Str Wheel standalone Sep '14 sales at Rs 315.78 crore,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/steelstripswheels/SSW02
Titagarh Wagons,328.95,211196,593014,385120,216645,3 star,1.87,1 star,,,11.11.2014@ Railways must grow to attain 10% GDP growth: Dinesh Trivedi,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/titagarhwagons/TW04
BSL,34,1572,5778,14577,10210,2 star,3.27,1 star,Yes,,13.11.2014@ BSL standalone Sep '14 sales at Rs 100.79 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-weaving/bsl/BSL
BSL,34,1572,5778,14577,10210,2 star,3.27,1 star,Yes,,13.11.2014@ BSL standalone Sep '14 sales at Rs 100.79 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-weaving/bsl/BSL
Solar Ind,2630.50,4400,4005,4184,3933,4 star,46.33,2 star,,,11.11.2014@ Eye big break in defence invested Rs 156 cr: Solar Ind,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04
Steel Str Wheel,368.50,182206,230178,118230,49514,3 star,16.00,1 star,Yes,,06.11.2014@ Steel Str Wheel standalone Sep '14 sales at Rs 315.78 crore,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/steelstripswheels/SSW02
Titagarh Wagons,328.95,211196,593014,385120,216645,3 star,1.87,1 star,,,11.11.2014@ Railways must grow to attain 10% GDP growth: Dinesh Trivedi,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/titagarhwagons/TW04
Solar Ind,2630.50,4400,4005,4184,3933,4 star,46.33,2 star,,,11.11.2014@ Eye big break in defence invested Rs 156 cr: Solar Ind,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04
JM Financial,52.15,1127768,1848341,1331854,1182440,3 star,0.94,1 star,,,21.11.2014@ JM Financial up 6% on additional capital commitment to arm,http://www.moneycontrol.com/india/stockpricequote/finance-investments/jmfinancial/JMF
DQ Entertain,25,14587,35640,118396,72770,2 star,4.59,1 star,Yes,,14.11.2014@ DQ Entertain consolidated Sep '14 total income from operations at Rs 52.64 crore,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dqentertainmentinternational/DEI01
JM Financial,52.15,1127768,1848341,1331854,1182440,3 star,0.94,1 star,,,21.11.2014@ JM Financial up 6% on additional capital commitment to arm,http://www.moneycontrol.com/india/stockpricequote/finance-investments/jmfinancial/JMF
DQ Entertain,25,14587,35640,118396,72770,2 star,4.59,1 star,Yes,,14.11.2014@ DQ Entertain consolidated Sep '14 total income from operations at Rs 52.64 crore,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dqentertainmentinternational/DEI01
TIL,405,5549,13978,39672,21778,2 star,2.50,1 star,Yes,,28.10.2014@ TIL consolidated Sep '14 sales at Rs 297.59 crore,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/til/TIL
Tata Comm,457.80,538403,625856,668386,656988,2 star,19.03,1 star,,,27.11.2014@ Tata Communications may head higher: Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17
TIL,405,5549,13978,39672,21778,2 star,2.50,1 star,Yes,,28.10.2014@ TIL consolidated Sep '14 sales at Rs 297.59 crore,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/til/TIL
Tata Comm,457.80,538403,625856,668386,656988,2 star,19.03,1 star,,,27.11.2014@ Tata Communications may head higher: Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/tatacommunications/TC17
Indo Count,336.20,50829,133416,201450,117544,2 star,29.55,2 star,,,26.11.2014@ CRISIL assigns valuation grade of 2/5 to Indo Count Inds,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/indocountindustries/ICI07
Indo Count,336.20,50829,133416,201450,117544,2 star,29.55,2 star,,,26.11.2014@ CRISIL assigns valuation grade of 2/5 to Indo Count Inds,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/indocountindustries/ICI07
KSB Pumps,571.50,5676,5436,15531,10476,2 star,17.17,1 star,,BUY,28.07.2014@ Buy KSB Pumps; target of Rs 581: PLilladher,http://www.moneycontrol.com/india/stockpricequote/pumps/ksbpumps/KSB
Madhav Marbles,50.85,4211,88711,52700,19910,3 star,6.75,1 star,Yes,,17.11.2014@ Madhav Marbles standalone Sep '14 sales at Rs 23.79 crore,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/madhavmarblesgranites/MMG
Heritage Foods,402,83671,201543,171072,75106,3 star,19.53,1 star,Yes,,21.10.2014@ Heritage Foods consolidated Sep '14 sales at Rs 512.38 crore,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI
Hexa Tradex,23.95,230,6543,5137,4319,3 star,0.06,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/finance-investments/hexatradex/HT03
Hexa Tradex,23.95,230,6543,5137,4319,3 star,0.06,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/finance-investments/hexatradex/HT03
Heritage Foods,402,83671,201543,171072,75106,3 star,19.53,1 star,Yes,,21.10.2014@ Heritage Foods consolidated Sep '14 sales at Rs 512.38 crore,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI
Madhav Marbles,50.85,4211,88711,52700,19910,3 star,6.75,1 star,Yes,,17.11.2014@ Madhav Marbles standalone Sep '14 sales at Rs 23.79 crore,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/madhavmarblesgranites/MMG
KSB Pumps,571.50,5676,5436,15531,10476,2 star,17.17,1 star,,BUY,28.07.2014@ Buy KSB Pumps; target of Rs 581: PLilladher,http://www.moneycontrol.com/india/stockpricequote/pumps/ksbpumps/KSB
CCL Products,145.10,204105,479512,916342,888221,2 star,5.51,1 star,Yes,,29.10.2014@ CCL Products consolidated Sep '14 sales at Rs 247.24 crore,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/cclproductsindia/CC10
Lumax Inds,408.90,21097,10697,14623,13762,4 star,8.24,1 star,Yes,,12.11.2014@ Lumax Inds standalone Sep '14 sales at Rs 286.58 crore,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxindustries/LI05
Lumax Inds,408.90,21097,10697,14623,13762,4 star,8.24,1 star,Yes,,12.11.2014@ Lumax Inds standalone Sep '14 sales at Rs 286.58 crore,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxindustries/LI05
Granules India,789,97388,122402,203195,163153,2 star,39.94,2 star,,,20.11.2014@ Granules India may test Rs 1000: Devang Mehta,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25
Granules India,789,97388,122402,203195,163153,2 star,39.94,2 star,,,20.11.2014@ Granules India may test Rs 1000: Devang Mehta,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25
Bata India,1263.15,80087,132138,193191,151273,2 star,29.68,2 star,,BUY,14.11.2014@ Buy Bata 1300 Call Jubilant Food 1450 Call: VK Sharma,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01
Shanthi Gears,139.05,52156,125735,126946,106751,2 star,2.25,1 star,Yes,,28.10.2014@ Shanthi Gears standalone Sep '14 sales at Rs 37.73 crore,http://www.moneycontrol.com/india/stockpricequote/engineering/shanthigears/SG04
Shanthi Gears,139.05,52156,125735,126946,106751,2 star,2.25,1 star,Yes,,28.10.2014@ Shanthi Gears standalone Sep '14 sales at Rs 37.73 crore,http://www.moneycontrol.com/india/stockpricequote/engineering/shanthigears/SG04
Bata India,1263.15,80087,132138,193191,151273,2 star,29.68,2 star,,BUY,14.11.2014@ Buy Bata 1300 Call Jubilant Food 1450 Call: VK Sharma,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01
CCL Products,145.10,204105,479512,916342,888221,2 star,5.51,1 star,Yes,,29.10.2014@ CCL Products consolidated Sep '14 sales at Rs 247.24 crore,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/cclproductsindia/CC10
Shivam Auto,73.90,41584,78288,164035,108313,2 star,28.43,2 star,Yes,,13.11.2014@ Shivam Auto standalone Sep '14 sales at Rs 112.60 crore,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/shivamautotech/SA13
J Kumar Infra,439,30780,58159,90265,68048,2 star,30.23,2 star,Yes,,13.11.2014@ J Kumar Infra standalone Sep '14 sales at Rs 300.24 crore,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/jkumarinfraprojects/KI01
J Kumar Infra,439,30780,58159,90265,68048,2 star,30.23,2 star,Yes,,13.11.2014@ J Kumar Infra standalone Sep '14 sales at Rs 300.24 crore,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/jkumarinfraprojects/KI01
EIH Assoc Hotel,219.50,562,6183,4702,3004,3 star,7.73,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/hotels/eihassociatedhotels/EIH01
Edelweiss,52,256732,760907,942692,925994,2 star,1.01,1 star,,,17.10.2014@ Edelweiss Financial Q2 profit rises 72% to Rs 79.2 cr,http://www.moneycontrol.com/india/stockpricequote/finance-general/edelweissfinancialservices/EC01
Federal-Mogul,396,2901,19067,42410,21697,2 star,3.70,1 star,,,31.10.2014@ Federal-Mogul Goetze: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/federal-mogulgoetze/FMG
Harita Seating,171.85,3181,6791,5683,5421,3 star,5.99,1 star,,,03.11.2014@ A. G. Giridharan ceases to be manager of Harita Seating,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/haritaseatingsystems/HSS02
Edelweiss,52,256732,760907,942692,925994,2 star,1.01,1 star,,,17.10.2014@ Edelweiss Financial Q2 profit rises 72% to Rs 79.2 cr,http://www.moneycontrol.com/india/stockpricequote/finance-general/edelweissfinancialservices/EC01
Indian Card,110,614,1403,2396,1275,2 star,5.19,1 star,,,13.11.2014@ Indian Card Clothing: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/textiles-machinery/indiancardclothing/ICC01
ARSS Infra,38.35,16299,62656,107334,71378,2 star,1.12,1 star,,,03.11.2014@ ARSS Infrastructure's  company secretary Sushanta Pradhan resigns,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/arssinfrastructureprojects/AIP
Jayshree Tea,91.25,38749,75112,80272,76093,2 star,1.16,1 star,,,27.05.2014@ Average tea prices may go up by Rs 22/kg in FY15: Jayshree,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/jayshreeteaindustries/JTI
Indian Card,110,614,1403,2396,1275,2 star,5.19,1 star,,,13.11.2014@ Indian Card Clothing: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/textiles-machinery/indiancardclothing/ICC01
ARSS Infra,38.35,16299,62656,107334,71378,2 star,1.12,1 star,,,03.11.2014@ ARSS Infrastructure's  company secretary Sushanta Pradhan resigns,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/arssinfrastructureprojects/AIP
Dynamatic Tech,2140,649,1349,5569,4665,2 star,0.56,1 star,,,14.11.2014@ Dynamatic Technologies: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/pumps/dynamatictechnologies/DT05
Shivam Auto,73.90,41584,78288,164035,108313,2 star,28.43,2 star,Yes,,13.11.2014@ Shivam Auto standalone Sep '14 sales at Rs 112.60 crore,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/shivamautotech/SA13
EIH Assoc Hotel,219.50,562,6183,4702,3004,3 star,7.73,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/hotels/eihassociatedhotels/EIH01
Jayshree Tea,91.25,38749,75112,80272,76093,2 star,1.16,1 star,,,27.05.2014@ Average tea prices may go up by Rs 22/kg in FY15: Jayshree,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/jayshreeteaindustries/JTI
Alchemist,37.80,4052,3375,8511,6068,2 star,12.29,1 star,,,27.10.2014@ Alchemist: Updates on outcome of AGM,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/alchemist/A12
Alchemist,37.80,4052,3375,8511,6068,2 star,12.29,1 star,,,27.10.2014@ Alchemist: Updates on outcome of AGM,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/alchemist/A12
Dynamatic Tech,2140,649,1349,5569,4665,2 star,0.56,1 star,,,14.11.2014@ Dynamatic Technologies: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/pumps/dynamatictechnologies/DT05
Federal-Mogul,396,2901,19067,42410,21697,2 star,3.70,1 star,,,31.10.2014@ Federal-Mogul Goetze: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/federal-mogulgoetze/FMG
Harita Seating,171.85,3181,6791,5683,5421,3 star,5.99,1 star,,,03.11.2014@ A. G. Giridharan ceases to be manager of Harita Seating,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/haritaseatingsystems/HSS02
Power Grid Corp,141.75,977414,8655117,6235880,5586636,3 star,8.60,1 star,,,25.11.2014@ Exit Power Grid says Nooresh Merani,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/powergridcorporationindia/PGC
BPCL,720.85,1825032,1147988,1419681,1498398,4 star,56.16,3 star,,BUY,25.11.2014@ Buy BPCL; target of Rs 906: Motilal Oswal,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
Power Grid Corp,141.75,977414,8655117,6235880,5586636,3 star,8.60,1 star,,,25.11.2014@ Exit Power Grid says Nooresh Merani,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/powergridcorporationindia/PGC
Indiabulls Real,78.10,2681821,7464036,8485198,7912437,2 star,3.41,1 star,,,18.11.2014@ Indiabulls Real Estate's debt rises 67% to Rs 5083cr,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-realestate/indiabullsrealestate/IRE01
Aarti Ind,285.70,110457,56047,55616,52527,5 star,16.78,1 star,,,10.11.2014@ Aarti Industries declares 45% interim dividend,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
Aarti Ind,285.70,110457,56047,55616,52527,5 star,16.78,1 star,,,10.11.2014@ Aarti Industries declares 45% interim dividend,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
BPCL,720.85,1825032,1147988,1419681,1498398,4 star,56.16,3 star,,BUY,25.11.2014@ Buy BPCL; target of Rs 906: Motilal Oswal,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
Indiabulls Real,78.10,2681821,7464036,8485198,7912437,2 star,3.41,1 star,,,18.11.2014@ Indiabulls Real Estate's debt rises 67% to Rs 5083cr,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-realestate/indiabullsrealestate/IRE01
M&M Financial,301,543146,1122009,1447699,1342216,2 star,15.60,1 star,,,11.11.2014@ New NBFC rules: Unlikely to impact mkt share says M&M Fin,http://www.moneycontrol.com/india/stockpricequote/finance-leasinghirepurchase/mahindramahindrafinancialservices/MMF04
M&M Financial,301,543146,1122009,1447699,1342216,2 star,15.60,1 star,,,11.11.2014@ New NBFC rules: Unlikely to impact mkt share says M&M Fin,http://www.moneycontrol.com/india/stockpricequote/finance-leasinghirepurchase/mahindramahindrafinancialservices/MMF04
Selan Explore,403,25138,55572,52983,43523,3 star,27.17,2 star,Yes,,12.08.2014@ Selan Explore standalone Jun '14 sales at Rs 25.29 crore,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/selanexplorationtechnology/SET
Natco Pharma,1341,9016,43659,33556,40519,3 star,33.32,2 star,,BUY,21.11.2014@ Buy Natco Pharma; target of Rs 1550: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/natcopharma/NP07
Natco Pharma,1341,9016,43659,33556,40519,3 star,33.32,2 star,,BUY,21.11.2014@ Buy Natco Pharma; target of Rs 1550: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/natcopharma/NP07
Selan Explore,403,25138,55572,52983,43523,3 star,27.17,2 star,Yes,,12.08.2014@ Selan Explore standalone Jun '14 sales at Rs 25.29 crore,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/selanexplorationtechnology/SET
HUL,783.40,506435,853812,781245,830484,3 star,17.88,1 star,,BUY*,27.11.2014@ Buy Hindustan Unilever advises Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
HUL,783.40,506435,853812,781245,830484,3 star,17.88,1 star,,BUY*,27.11.2014@ Buy Hindustan Unilever advises Sudarshan Sukhani,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU
EngineersInd,226.60,471915,627301,727752,683890,2 star,14.24,1 star,,BUY,13.11.2014@ Buy Engineers India; target of Rs 300: Kotak Securities,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/engineersindia/EI14
Kesar Terminals,430.20,2614,13326,10926,12955,3 star,20.95,1 star,,BUY,03.07.2014@ Buy Kesar Terminals; target of Rs 165: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/kesarterminalsinfrastructure/KTI04
Kesar Terminals,430.20,2614,13326,10926,12955,3 star,20.95,1 star,,BUY,03.07.2014@ Buy Kesar Terminals; target of Rs 165: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/kesarterminalsinfrastructure/KTI04
Rossell India,100.95,6056,119099,67903,24678,3 star,5.56,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/rossellindia/RT08
EngineersInd,226.60,471915,627301,727752,683890,2 star,14.24,1 star,,BUY,13.11.2014@ Buy Engineers India; target of Rs 300: Kotak Securities,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/engineersindia/EI14
Maral Overseas,21,350,19816,14179,13572,3 star,6.65,1 star,Yes,,06.11.2014@ Maral Overseas standalone Sep '14 sales at Rs 160.43 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/maraloverseas/MO
Kirloskar Oil,284,13949,35091,29074,23614,3 star,12.34,1 star,Yes,,13.08.2014@ Kirloskar Oil standalone Jun '14 sales at Rs 639.09 crore,http://www.moneycontrol.com/india/stockpricequote/engines/kirloskaroilengines/KOE03
Maral Overseas,21,350,19816,14179,13572,3 star,6.65,1 star,Yes,,06.11.2014@ Maral Overseas standalone Sep '14 sales at Rs 160.43 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/maraloverseas/MO
Kirloskar Oil,284,13949,35091,29074,23614,3 star,12.34,1 star,Yes,,13.08.2014@ Kirloskar Oil standalone Jun '14 sales at Rs 639.09 crore,http://www.moneycontrol.com/india/stockpricequote/engines/kirloskaroilengines/KOE03
Rossell India,100.95,6056,119099,67903,24678,3 star,5.56,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/rossellindia/RT08
Mcleod,249.15,160803,398542,520859,419727,2 star,19.01,1 star,,,22.10.2014@ Eye 20% topline growth in Q3: Mcleod Russel,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/mcleodrussel(india)/MRI02
Mcleod,249.15,160803,398542,520859,419727,2 star,19.01,1 star,,,22.10.2014@ Eye 20% topline growth in Q3: Mcleod Russel,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/mcleodrussel(india)/MRI02
PNB Gilts,27.75,109686,622051,516514,547283,3 star,3.41,1 star,Yes,,04.11.2014@ PNB Gilts standalone Sep '14 sales at Rs 87.76 crore,http://www.moneycontrol.com/india/stockpricequote/finance-investments/pnbgilts/PNB04
PNB Gilts,27.75,109686,622051,516514,547283,3 star,3.41,1 star,Yes,,04.11.2014@ PNB Gilts standalone Sep '14 sales at Rs 87.76 crore,http://www.moneycontrol.com/india/stockpricequote/finance-investments/pnbgilts/PNB04
Vardhman Poly,52.95,62,2863,2376,2229,3 star,2.41,1 star,,,11.11.2014@ Vardhman Polytex: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/vardhmanpolytex/VP09
Merck,790.45,8248,12948,17725,17357,2 star,33.66,2 star,,BUY,18.09.2014@ Buy Merck; target of Rs 930: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/merck/M12
Merck,790.45,8248,12948,17725,17357,2 star,33.66,2 star,,BUY,18.09.2014@ Buy Merck; target of Rs 930: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/merck/M12
Amara Raja Batt,761,130138,472683,454337,340708,3 star,21.51,1 star,,,27.11.2014@ Krishna Kumar Karwa bullish on auto ancillaries,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB
Dishman Pharma,144,644009,523162,906218,734541,2 star,10.75,1 star,,,27.11.2014@ Aim Rs 250 cr sales for Vitamin D biz by FY15 end: Dishman,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dishmanpharmaceuticalschemicals/DPC02
Dishman Pharma,144,644009,523162,906218,734541,2 star,10.75,1 star,,,27.11.2014@ Aim Rs 250 cr sales for Vitamin D biz by FY15 end: Dishman,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/dishmanpharmaceuticalschemicals/DPC02
Shoppers Stop,492.55,24156,40042,108208,102458,2 star,4.45,1 star,,,17.11.2014@ Shoppers Stop: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/retail/shoppersstop/SS51
Shoppers Stop,492.55,24156,40042,108208,102458,2 star,4.45,1 star,,,17.11.2014@ Shoppers Stop: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/retail/shoppersstop/SS51
Vardhman Poly,52.95,62,2863,2376,2229,3 star,2.41,1 star,,,11.11.2014@ Vardhman Polytex: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/vardhmanpolytex/VP09
Wockhardt,822,449391,1005256,962016,819925,3 star,18.09,1 star,,,06.11.2014@ See capex of Rs 500cr in next 3-4 yrs: Wockhardt Hospitals,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wockhardt/W05
Amara Raja Batt,761,130138,472683,454337,340708,3 star,21.51,1 star,,,27.11.2014@ Krishna Kumar Karwa bullish on auto ancillaries,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB
TVS Srichakra,1598.75,4811,12633,35167,24976,2 star,61.96,3 star,,BUY,05.09.2014@ Buy TVS Shrichakra; target of Rs 1040: Angel Broking,http://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03
TVS Srichakra,1598.75,4811,12633,35167,24976,2 star,61.96,3 star,,BUY,05.09.2014@ Buy TVS Shrichakra; target of Rs 1040: Angel Broking,http://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03
Kabra Extrusion,83,10532,56716,46716,33421,3 star,4.46,1 star,,,14.11.2014@ Kabra Extrusiontechnik; Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/kabraextrusiontechnik/KET
Welspun Ent,345.95,9308,28220,27305,19546,3 star,1.56,1 star,,,05.11.2014@ Welspun Enterprises: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/welspunenterprises/WE01
Lakshmi Machine,4292.85,1904,4610,6458,5815,2 star,163.04,5 star,,,28.10.2014@ Lakshmi Machine Works falls 5% post weak Q2 bottomline,http://www.moneycontrol.com/india/stockpricequote/textiles-machinery/lakshmimachineworks/LMW
Kabra Extrusion,83,10532,56716,46716,33421,3 star,4.46,1 star,,,14.11.2014@ Kabra Extrusiontechnik; Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/kabraextrusiontechnik/KET
Lakshmi Machine,4292.85,1904,4610,6458,5815,2 star,163.04,5 star,,,28.10.2014@ Lakshmi Machine Works falls 5% post weak Q2 bottomline,http://www.moneycontrol.com/india/stockpricequote/textiles-machinery/lakshmimachineworks/LMW
Welspun Ent,345.95,9308,28220,27305,19546,3 star,1.56,1 star,,,05.11.2014@ Welspun Enterprises: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/welspunenterprises/WE01
Wockhardt,822,449391,1005256,962016,819925,3 star,18.09,1 star,,,06.11.2014@ See capex of Rs 500cr in next 3-4 yrs: Wockhardt Hospitals,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wockhardt/W05
Radico Khaitan,81.40,177718,365290,295265,239815,3 star,5.36,1 star,,,12.11.2014@ Radico Khaitan Q2 profit down 13% to Rs 14.9 cr,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01
Radico Khaitan,81.40,177718,365290,295265,239815,3 star,5.36,1 star,,,12.11.2014@ Radico Khaitan Q2 profit down 13% to Rs 14.9 cr,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01
Punjab Chemical,101.50,2462,9480,15707,6807,2 star,0.96,1 star,,,28.10.2014@ Keep stoploss at Rs 110 in Punjab Chemicals: Kunal Bothra,http://www.moneycontrol.com/india/stockpricequote/chemicals/punjabchemicalscropprotection/PCC03
Punjab Chemical,101.50,2462,9480,15707,6807,2 star,0.96,1 star,,,28.10.2014@ Keep stoploss at Rs 110 in Punjab Chemicals: Kunal Bothra,http://www.moneycontrol.com/india/stockpricequote/chemicals/punjabchemicalscropprotection/PCC03
Reliance Comm,104.50,2604059,5856772,7722945,5511703,2 star,3.57,1 star,,,17.11.2014@ Will ease debt to Rs 25000 cr by March 2016: Reliance Comm,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/reliancecommunications/RC13
Britannia,1676.85,48719,119993,182737,142611,2 star,30.84,2 star,,,20.11.2014@ Accumulate Britannia Industries; target Rs 1844: KRChoksey,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
Reliance Comm,104.50,2604059,5856772,7722945,5511703,2 star,3.57,1 star,,,17.11.2014@ Will ease debt to Rs 25000 cr by March 2016: Reliance Comm,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/reliancecommunications/RC13
Zydus Wellness,710,50606,32638,39809,31092,4 star,24.69,1 star,Yes,,06.11.2014@ Zydus Wellness consolidated Sep '14 sales at Rs 103.03 crore,http://www.moneycontrol.com/india/stockpricequote/vanaspatioils/zyduswellness/ZW01
