CompanyName,CurrentPrice,DayVolume,FiveDayAvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,VolumeRating,EPS,EPSRating,StandaloneProfit,Recommendation,News,API
Shreyans Ind,32,889,815,722,599,5 star,9.14,1 star,Yes,,13.11.2014@ Shreyans Ind standalone Sep '14 sales at Rs 86.09 crore,http://www.moneycontrol.com/india/stockpricequote/paper/shreyansindustries/SI20
IGL,456.50,558570,540377,564660,518149,2 star,25.73,2 star,,,12.11.2014@ Indraprastha Gas Q2 PAT jump 28% to Rs 119 cr,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Shreyans Ind,32,889,815,722,599,5 star,9.14,1 star,Yes,,13.11.2014@ Shreyans Ind standalone Sep '14 sales at Rs 86.09 crore,http://www.moneycontrol.com/india/stockpricequote/paper/shreyansindustries/SI20
Rel Capital,522,6245381,5912327,5355096,3693631,5 star,16.65,1 star,,,26.11.2014@ Nippon Life hiking stake in Rel Cap: Should we invest now?,http://www.moneycontrol.com/india/stockpricequote/finance-investments/reliancecapital/RC
Liberty Shoes,266.90,202636,68234,77798,128161,4 star,7.86,1 star,Yes,,14.10.2014@ Liberty Shoes Q2 net up 25.24% at Rs 2.53 crore,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/libertyshoes/LS02
Jindal Poly Inv,111,1232,4374,7712,5417,2 star,7.02,1 star,Yes,,14.08.2014@ Jindal Poly Inv standalone Jun '14 sales at Rs 0.15 crore,http://www.moneycontrol.com/india/stockpricequote/finance-general/jindalpolyinvestmentfinancecompany/JPI02
Jocil,129.80,214,2009,3335,3148,2 star,12.75,1 star,Yes,,11.11.2014@ Jocil standalone Sep '14 sales at Rs 75.36 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jocil/J01
Nahar Poly Film,31,2588,5475,18244,8850,2 star,0.12,1 star,Yes,,02.06.2014@ Nahar Poly Film standalone Mar '14 sales at Rs 82.55 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/naharpolyfilms/NIH
Jocil,129.80,214,2009,3335,3148,2 star,12.75,1 star,Yes,,11.11.2014@ Jocil standalone Sep '14 sales at Rs 75.36 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jocil/J01
Liberty Shoes,266.90,202636,68234,77798,128161,4 star,7.86,1 star,Yes,,14.10.2014@ Liberty Shoes Q2 net up 25.24% at Rs 2.53 crore,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/libertyshoes/LS02
IGL,456.50,558570,540377,564660,518149,2 star,25.73,2 star,,,12.11.2014@ Indraprastha Gas Q2 PAT jump 28% to Rs 119 cr,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/indraprasthagas/IG04
Nahar Poly Film,31,2588,5475,18244,8850,2 star,0.12,1 star,Yes,,02.06.2014@ Nahar Poly Film standalone Mar '14 sales at Rs 82.55 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/naharpolyfilms/NIH
Vadilal Ind,281.45,51169,190332,156117,60377,3 star,1.98,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilalindustries/VI01
Vadilal Ind,281.45,51169,190332,156117,60377,3 star,1.98,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilalindustries/VI01
Strides Arcolab,764,382486,181429,201997,264370,4 star,589.76,5 star,,,29.10.2014@ Strides Arcolab's Q2 results on November 07 2014,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/stridesarcolab/SA10
Pratibha Ind,54,255486,230029,420428,287360,2 star,3.61,1 star,,BUY,09.10.2014@ Buy Pratibha Industries; tgt of Rs 60: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/pratibhaindustries/PI33
Strides Arcolab,764,382486,181429,201997,264370,4 star,589.76,5 star,,,29.10.2014@ Strides Arcolab's Q2 results on November 07 2014,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/stridesarcolab/SA10
Energy Dev,21.15,2412,16795,10828,5303,3 star,0.80,1 star,,,14.11.2014@ Energy Development appoints Bijay Kumar Garodia as additional director,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/energydevelopmentcompany/EDC
Pratibha Ind,54,255486,230029,420428,287360,2 star,3.61,1 star,,BUY,09.10.2014@ Buy Pratibha Industries; tgt of Rs 60: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/pratibhaindustries/PI33
